STATION_ID,variable,min,mean,median,max
2-TRH000.40,SECCHI_DEPTH,0.3,0.9829268292682927,0.9,2.7
2-WLN007.36,SECCHI_DEPTH,0.5,4.178571428571429,4.25,6.1
2-XLU000.10,SECCHI_DEPTH,0.6,1.4902439024390244,1.2,3.6
2-XLV002.27,SECCHI_DEPTH,1.6,5.2178571428571425,5.2,9
2-XLW000.60,SECCHI_DEPTH,0.3,1.488888888888889,1.4,3.1
2-XMW000.72,SECCHI_DEPTH,0.7,4.041379310344827,4.2,6.5
3-HNT000.92,SECCHI_DEPTH,1.4,2.59,2.5,4.6
3-MOT000.39,SECCHI_DEPTH,0.6,2.8658536585365852,2.9,4.6
3-MTN024.05,SECCHI_DEPTH,0.4,0.7806451612903226,0.7,1.3
3-MTN028.68,SECCHI_DEPTH,0.3,1.2025641025641025,1.2,2.9
4ABAU005.34,SECCHI_DEPTH,0.5,2.1678571428571427,2.1,4.1
4ABSA000.62,SECCHI_DEPTH,0.9,2.7669291338582678,2.7,6.2
4ABWR002.50,SECCHI_DEPTH,0.9,2.8274809160305345,2.7,6.4
4ABWR010.55,SECCHI_DEPTH,0.6,1.8870229007633588,1.9,3.5
4ABWR017.42,SECCHI_DEPTH,0.1,1.0492063492063493,1,2
4ACCK001.80,SECCHI_DEPTH,1.5,3.063970588235294,3,6.5
4ACOA000.60,SECCHI_DEPTH,1,2.879389312977099,2.9,6
4ACRR008.32,SECCHI_DEPTH,0.4,1.2,1.1,1.9
4ACRV006.19,SECCHI_DEPTH,0.7,2.545945945945946,2.6,4.6
4ADAN187.94,SECCHI_DEPTH,0.2,1.8272727272727272,1.8,3.9
4ADAN194.10,SECCHI_DEPTH,1.2,3.35,3.2,6
4AGIL002.39,SECCHI_DEPTH,0.6,1.842063492063492,1.8,3.6
4AGOB003.86,SECCHI_DEPTH,0.4,1.7176470588235293,1.8,2.5
4AHTA003.26,SECCHI_DEPTH,0.3,0.7933333333333333,0.8,1.5
4ARFK000.20,SECCHI_DEPTH,0.1,0.8926829268292683,1,1.5
4AROA000.00,SECCHI_DEPTH,0.4,1.3567164179104478,1.4,2.2
4AROA004.54,SECCHI_DEPTH,0.4,1.2727272727272727,1.2,2.2
4AROA008.66,SECCHI_DEPTH,0.5,1.4948275862068965,1.5,3.2
4AROA018.36,SECCHI_DEPTH,1,2.0391304347826087,2,3.5
4AROA022.52,SECCHI_DEPTH,0.7,1.9529411764705882,1.9,3.4
4AROA028.04,SECCHI_DEPTH,0.7,1.63125,1.6,2.9
4AROA032.42,SECCHI_DEPTH,0.5,1.3955223880597014,1.4,2.5
4AROA038.49,SECCHI_DEPTH,0.2,1.0461538461538462,1.1,2.1
4AROA043.14,SECCHI_DEPTH,0.1,0.7741935483870968,0.8,1.5
4AROA140.66,SECCHI_DEPTH,0.5,1.889156626506024,1.9,4.9
4AROA145.34,SECCHI_DEPTH,0.3,1.4814814814814814,1.5,2.5
4AROA153.59,SECCHI_DEPTH,0.2,0.9400000000000001,0.9,2.2
4AROA158.22,SECCHI_DEPTH,1.5,3.051470588235294,3,6.4
4AROA163.76,SECCHI_DEPTH,1.1,2.9075187969924814,3,6.5
4AROA167.34,SECCHI_DEPTH,1,2.6183823529411763,2.55,6.1
4AROA175.63,SECCHI_DEPTH,0.8,1.6818840579710146,1.6,3
4AROA180.21,SECCHI_DEPTH,0.5,1.4911764705882353,1.4,2.9
4AROA183.64,SECCHI_DEPTH,0.5,1.3525925925925926,1.3,2.9
4AROA192.94,SECCHI_DEPTH,0.2,0.7867647058823529,0.8,1.3
4AROA196.05,SECCHI_DEPTH,0.1,0.9796610169491525,1,2.4
4ASRE046.90,SECCHI_DEPTH,1.5,3.534782608695652,3.5,6.5
4ASRE048.98,SECCHI_DEPTH,1.4,2.9602739726027396,3,4.5
4ASRE052.31,SECCHI_DEPTH,1.3,2.8375,2.8,4.5
4ASRE056.06,SECCHI_DEPTH,1.3,2.380281690140845,2.5,3.6
4ASRN005.14,SECCHI_DEPTH,0.3,0.8605263157894737,0.9,1.5
4AWTH000.40,SECCHI_DEPTH,1.5,3.0492537313432835,3,6.1
5AGTC009.94,SECCHI_DEPTH,0.5,1.2571428571428571,1,3.1
5ALTD005.10,SECCHI_DEPTH,0.4,0.6941176470588235,0.7,1.1
5ANTW127.14,SECCHI_DEPTH,0.3,0.6314285714285715,0.6,0.9
