Variable,STATION_ID,Month,Mean,Min,Max,Nobs
SECCHI_DEPTH,2-SDY005.85,7,1.1400000000000001,0.8,1.7,10
SECCHI_DEPTH,2-SDY005.85,8,1.011111111111111,0.7,1.5,9
SECCHI_DEPTH,2-SDY005.85,9,1.1111111111111112,0.7,1.8,9
SECCHI_DEPTH,2-SDY005.85,10,0.8857142857142857,0.6,1,8
SECCHI_DEPTH,4ABSA000.62,5,2.552380952380952,1.6,4.7,23
SECCHI_DEPTH,4ABSA000.62,6,3.286363636363636,1.8,6.2,31
SECCHI_DEPTH,4ABSA000.62,7,3.0375,2,4.1,25
SECCHI_DEPTH,4ABSA000.62,8,2.482608695652174,0.9,3.5,31
SECCHI_DEPTH,4ABSA000.62,9,2.465,1.2,3.5,20
SECCHI_DEPTH,4ABSA000.62,10,2.73,1.8,4,28
SECCHI_DEPTH,4ABWR002.50,5,2.5428571428571427,1.4,3.7,25
SECCHI_DEPTH,4ABWR002.50,6,3.4458333333333333,1.8,6.4,35
SECCHI_DEPTH,4ABWR002.50,7,3.1043478260869564,2.2,4,27
SECCHI_DEPTH,4ABWR002.50,8,2.504,0.9,3.5,33
SECCHI_DEPTH,4ABWR002.50,9,2.555,1.5,3.7,22
SECCHI_DEPTH,4ABWR002.50,10,2.738095238095238,1.5,3.7,31
SECCHI_DEPTH,4ABWR010.55,5,1.7904761904761906,1.2,2.7,25
SECCHI_DEPTH,4ABWR010.55,6,2.0541666666666667,0.8,3,34
SECCHI_DEPTH,4ABWR010.55,7,1.8458333333333332,0.8,2.8,27
SECCHI_DEPTH,4ABWR010.55,8,1.752,0.9,2.5,35
SECCHI_DEPTH,4ABWR010.55,9,1.795,0.7,3.5,22
SECCHI_DEPTH,4ABWR010.55,10,2.18,0.6,3.1,30
SECCHI_DEPTH,4ABWR017.42,5,0.98,0.2,2,25
SECCHI_DEPTH,4ABWR017.42,6,0.8909090909090909,0.1,1.5,31
SECCHI_DEPTH,4ABWR017.42,7,0.9391304347826087,0.5,1.2,27
SECCHI_DEPTH,4ABWR017.42,8,1.084,0.5,2,31
SECCHI_DEPTH,4ABWR017.42,9,1.12,0.5,2,22
SECCHI_DEPTH,4ABWR017.42,10,1.2947368421052632,0.7,1.7,28
SECCHI_DEPTH,4ACCK001.80,5,2.659090909090909,1.5,4.4,25
SECCHI_DEPTH,4ACCK001.80,6,3.28,1.5,6.5,30
SECCHI_DEPTH,4ACCK001.80,7,3.38,2.1,4.4,25
SECCHI_DEPTH,4ACCK001.80,8,2.966666666666667,1.9,4.1,27
SECCHI_DEPTH,4ACCK001.80,9,3,1.7,4.5,26
SECCHI_DEPTH,4ACCK001.80,10,3.1055555555555556,2.2,4,24
SECCHI_DEPTH,4ACOA000.60,5,2.555,1.4,4.1,24
SECCHI_DEPTH,4ACOA000.60,6,3.425,2.1,6,31
SECCHI_DEPTH,4ACOA000.60,7,3.2583333333333333,2.6,4.2,25
SECCHI_DEPTH,4ACOA000.60,8,2.596,1,3.7,29
SECCHI_DEPTH,4ACOA000.60,9,2.595,1.5,4,20
SECCHI_DEPTH,4ACOA000.60,10,2.780952380952381,1.9,3.5,27
SECCHI_DEPTH,4AGIL002.39,5,1.6761904761904762,0.8,2.4,25
SECCHI_DEPTH,4AGIL002.39,6,2.0956521739130434,1.2,3.6,33
SECCHI_DEPTH,4AGIL002.39,7,1.7565217391304349,0.9,2.5,27
SECCHI_DEPTH,4AGIL002.39,8,1.6791666666666667,0.9,2.4,33
SECCHI_DEPTH,4AGIL002.39,9,1.8666666666666667,1,2.8,22
SECCHI_DEPTH,4AGIL002.39,10,2.02,0.6,3,29
SECCHI_DEPTH,4AROA000.00,5,1.15,0.7,1.5,12
SECCHI_DEPTH,4AROA000.00,6,1.3666666666666667,0.5,2.2,13
SECCHI_DEPTH,4AROA000.00,7,1.5076923076923077,1.2,1.9,14
SECCHI_DEPTH,4AROA000.00,8,1.4833333333333334,1,2,13
SECCHI_DEPTH,4AROA000.00,9,1.3333333333333333,0.6,2,12
SECCHI_DEPTH,4AROA000.00,10,1.2545454545454546,0.4,2.2,11
SECCHI_DEPTH,4AROA004.54,5,1.1888888888888889,0.8,1.5,12
SECCHI_DEPTH,4AROA004.54,6,1.1307692307692307,0.4,1.9,13
SECCHI_DEPTH,4AROA004.54,7,1.3,1.1,1.7,14
SECCHI_DEPTH,4AROA004.54,8,1.3166666666666667,0.9,1.7,13
SECCHI_DEPTH,4AROA004.54,9,1.4,1,1.9,12
SECCHI_DEPTH,4AROA004.54,10,1.2636363636363637,0.5,2.2,11
SECCHI_DEPTH,4AROA008.66,5,1.2125,0.7,1.6,12
SECCHI_DEPTH,4AROA008.66,6,1.3166666666666667,0.6,2.1,13
SECCHI_DEPTH,4AROA008.66,7,1.3545454545454545,0.8,2.4,14
SECCHI_DEPTH,4AROA008.66,8,1.6454545454545455,1.1,2.6,13
SECCHI_DEPTH,4AROA008.66,9,1.7888888888888888,1.2,2.3,12
SECCHI_DEPTH,4AROA008.66,10,1.58,0.5,3.2,11
SECCHI_DEPTH,4AROA018.36,5,1.6181818181818182,1,2.4,15
SECCHI_DEPTH,4AROA018.36,6,1.95,1.4,2.7,16
SECCHI_DEPTH,4AROA018.36,7,2.142857142857143,1.6,2.7,18
SECCHI_DEPTH,4AROA018.36,8,2.269230769230769,1.8,2.9,18
SECCHI_DEPTH,4AROA018.36,9,2.2916666666666665,1.4,3.5,13
SECCHI_DEPTH,4AROA018.36,10,1.83,1.2,2.5,11
SECCHI_DEPTH,4AROA022.52,5,1.5909090909090908,0.7,2.1,12
SECCHI_DEPTH,4AROA022.52,6,1.8333333333333333,1.4,2.5,12
SECCHI_DEPTH,4AROA022.52,7,1.823076923076923,1.4,2.2,14
SECCHI_DEPTH,4AROA022.52,8,2.1307692307692307,1.7,2.6,13
SECCHI_DEPTH,4AROA022.52,9,2.2333333333333334,1.5,3.4,12
SECCHI_DEPTH,4AROA022.52,10,2.04,1.1,2.6,10
SECCHI_DEPTH,4AROA028.04,5,1.3636363636363635,0.7,2.1,12
SECCHI_DEPTH,4AROA028.04,6,1.5166666666666666,1.1,2,12
SECCHI_DEPTH,4AROA028.04,7,1.6083333333333334,1.2,2.2,14
SECCHI_DEPTH,4AROA028.04,8,1.875,1.2,2.9,13
SECCHI_DEPTH,4AROA028.04,9,1.8272727272727272,1.2,2.7,12
SECCHI_DEPTH,4AROA028.04,10,1.5222222222222221,1.1,2,10
SECCHI_DEPTH,4AROA032.42,5,1.2,0.5,1.7,12
SECCHI_DEPTH,4AROA032.42,6,1.2636363636363637,1,1.5,12
SECCHI_DEPTH,4AROA032.42,7,2.0357142857142856,1.1,10,14
SECCHI_DEPTH,4AROA032.42,8,1.5333333333333334,0.9,2.5,13
SECCHI_DEPTH,4AROA032.42,9,1.5666666666666667,0.9,2.4,12
SECCHI_DEPTH,4AROA032.42,10,1.3,0.9,2.1,10
SECCHI_DEPTH,4AROA038.49,5,0.8272727272727273,0.2,1.6,20
SECCHI_DEPTH,4AROA038.49,6,0.9727272727272728,0.5,1.2,20
SECCHI_DEPTH,4AROA038.49,7,1.1384615384615384,0.9,1.5,24
SECCHI_DEPTH,4AROA038.49,8,1.1416666666666666,0.6,1.7,22
SECCHI_DEPTH,4AROA038.49,9,1.1416666666666666,0.7,2.1,18
SECCHI_DEPTH,4AROA038.49,10,0.9,0.3,1.7,14
SECCHI_DEPTH,4AROA043.14,5,0.57,0.1,1,13
SECCHI_DEPTH,4AROA043.14,6,0.8,0.2,1.1,13
SECCHI_DEPTH,4AROA043.14,7,0.8153846153846154,0.5,1.2,15
SECCHI_DEPTH,4AROA043.14,8,0.8818181818181818,0.3,1.3,14
SECCHI_DEPTH,4AROA043.14,9,0.7727272727272727,0.4,1.1,13
SECCHI_DEPTH,4AROA043.14,10,0.725,0.4,1.5,10
SECCHI_DEPTH,4AROA140.66,5,1.8,0.6,3,21
SECCHI_DEPTH,4AROA140.66,6,2.1,0.5,4.9,20
SECCHI_DEPTH,4AROA140.66,7,2.0294117647058822,1.5,3,21
SECCHI_DEPTH,4AROA140.66,8,1.976923076923077,1.1,2.8,20
SECCHI_DEPTH,4AROA140.66,9,1.876923076923077,1,2.8,18
SECCHI_DEPTH,4AROA140.66,10,1.5571428571428572,1,2.4,18
SECCHI_DEPTH,4AROA145.34,5,1.3857142857142857,0.3,2,20
SECCHI_DEPTH,4AROA145.34,6,1.4307692307692308,0.4,1.9,19
SECCHI_DEPTH,4AROA145.34,7,1.78125,0.9,2.5,21
SECCHI_DEPTH,4AROA145.34,8,1.676923076923077,1,2.4,19
SECCHI_DEPTH,4AROA145.34,9,1.48,1,2.1,19
SECCHI_DEPTH,4AROA145.34,10,1.1307692307692307,0.4,1.7,18
SECCHI_DEPTH,4AROA158.22,5,2.880952380952381,1.5,4.5,26
SECCHI_DEPTH,4AROA158.22,6,3.548,1.5,6.4,35
SECCHI_DEPTH,4AROA158.22,7,3.204,1.7,4.2,25
SECCHI_DEPTH,4AROA158.22,8,2.9583333333333335,2,4.5,33
SECCHI_DEPTH,4AROA158.22,9,2.728,1.5,4.6,25
SECCHI_DEPTH,4AROA158.22,10,3.0210526315789474,1.8,4.3,28
SECCHI_DEPTH,4AROA163.76,5,2.4909090909090907,1.1,4.2,26
SECCHI_DEPTH,4AROA163.76,6,3.5375,1.8,6.5,36
SECCHI_DEPTH,4AROA163.76,7,3.2666666666666666,2.4,4.5,25
SECCHI_DEPTH,4AROA163.76,8,2.608,1.3,3.5,35
SECCHI_DEPTH,4AROA163.76,9,2.7083333333333335,1.4,4,25
SECCHI_DEPTH,4AROA163.76,10,2.888235294117647,1.9,4,29
SECCHI_DEPTH,4AROA167.34,5,2.359090909090909,1.1,4,25
SECCHI_DEPTH,4AROA167.34,6,3.216,1.6,6.1,33
SECCHI_DEPTH,4AROA167.34,7,2.848,1.7,4.1,25
SECCHI_DEPTH,4AROA167.34,8,2.3043478260869565,1,3.3,31
SECCHI_DEPTH,4AROA167.34,9,2.384,1.3,4.2,26
SECCHI_DEPTH,4AROA167.34,10,2.610526315789474,1.4,3.9,26
SECCHI_DEPTH,4AROA175.63,5,1.8285714285714285,1.1,3,28
SECCHI_DEPTH,4AROA175.63,6,1.952,1.1,2.9,43
SECCHI_DEPTH,4AROA175.63,7,1.5769230769230769,1.1,2.1,31
SECCHI_DEPTH,4AROA175.63,8,1.3807692307692307,0.9,2.2,44
SECCHI_DEPTH,4AROA175.63,9,1.3956521739130434,0.8,2.3,27
SECCHI_DEPTH,4AROA175.63,10,2.057142857142857,1.1,3,36
SECCHI_DEPTH,4AROA180.21,5,1.7285714285714286,0.6,2.7,24
SECCHI_DEPTH,4AROA180.21,6,1.58,0.9,2.4,34
SECCHI_DEPTH,4AROA180.21,7,1.3519999999999999,1.2,1.8,25
SECCHI_DEPTH,4AROA180.21,8,1.168,0.7,1.6,34
SECCHI_DEPTH,4AROA180.21,9,1.3,0.5,2,23
SECCHI_DEPTH,4AROA180.21,10,1.9142857142857144,1,2.9,29
